KK, 203.08, 101.04,  67.03,  50.02,  39.98,  33.13,  28.24,  24.58,  21.78
QQ, 101.04,  50.28,  33.25,  24.77,  19.66,  16.27,  13.86,  12.05,  10.64
JJ,  67.03,  33.25,  21.94,  16.33,  12.95,  10.68,   9.08,   7.87,   6.94
TT,  50.02,  24.71,  16.30,  12.09,   9.57,   7.90,   6.70,   5.80,   5.11
99,  39.82,  19.66,  12.93,   9.57,   7.56,   6.23,   5.28,   4.57,   4.03
88,  33.01,  16.24,  10.67,   7.89,   6.23,   5.12,   4.34,   3.76,   3.31
77,  28.15,  13.84,   9.06,   6.69,   5.27,   4.34,   3.68,   3.19,   2.82
66,  24.51,  12.00,   7.85,   5.79,   4.56,   3.75,   3.19,   2.77,   2.46
55,  21.68,  10.60,   6.92,   5.09,   4.01,   3.30,   2.81,   2.46,   2.20
44,  19.41,   9.46,   6.17,   4.54,   3.57,   2.95,   2.52,   2.22,   2.00
33,  17.55,   8.54,   5.55,   4.08,   3.22,   2.66,   2.29,   2.03,   1.85
22,  16.01,   7.76,   5.05,   3.71,   2.93,   2.43,   2.10,   1.89,   1.75
